4.064965 GLOBAL 0200 0060
4.064997 GLOBAL 0201 0993
4.065029 GLOBAL 0202 0001
4.065070 GLOBAL 0203 0004
4.065102 GLOBAL 0204 0004
4.065134 GLOBAL 0205 000C
4.065166 GLOBAL 0C00 0000
4.065198 GLOBAL 0C01 0000
4.065230 GLOBAL 0C02 0000
4.065262 GLOBAL 0C03 0000
4.065294 GLOBAL 0C04 0020
4.065326 GLOBAL 0C05 0001
4.065358 GLOBAL 0E00 0000
# ARM t=22.008188 writes_before_arm=2470
# KEYDOWN C4 t=22.305986 ok=true
22.307361 0840 FF00
22.307363 0800 FF80
22.307747 0040 7007
22.307750 0080 8E52
22.307753 00C0 7400
22.307756 0100 2466
22.307759 0140 6FDA
22.307762 0180 0000
22.307765 0400 34C1
22.307768 0440 0000
22.307771 0480 0000
22.307774 04C0 4400
22.307777 0500 2C72
22.307780 0800 E57F
22.307783 0000 8100
22.307786 0840 484C
22.307789 0880 4000
22.307792 08C0 00B0
22.307795 0900 AE00
22.307798 0940 AE00
22.307801 0980 AE00
22.307804 09C0 FF00
22.307807 0A00 40E8
22.307810 0A40 30B0
22.307813 0080 0E52
22.307819 0841 FF00
22.307822 0801 FF80
22.308213 0041 7017
22.308217 0081 8E64
22.308220 00C1 7400
22.308223 0101 2466
22.308226 0141 6FDA
22.308229 0181 007F
22.308232 0401 34C1
22.308235 0441 0000
22.308238 0481 0000
22.308241 04C1 4400
22.308244 0501 2C72
22.308247 0801 E57F
22.308249 0001 8100
22.308252 0841 484C
22.308256 0881 4000
22.308259 08C1 00B0
22.308262 0901 AE00
22.308265 0941 AE00
22.308268 0981 AE00
22.308271 09C1 FF00
22.308274 0A01 40E8
22.308277 0A41 30B0
22.308280 0081 0E64
22.308297 0000 F0FF
22.308309 0001 F0FF
# KEYUP C4 t=24.311158
24.313234 0840 8B00
24.313237 0940 AE00
24.313240 0A00 4FB0
24.313243 0800 8B80
24.313246 0900 AE00
24.313249 09C0 4FB0
24.313335 0841 8B00
24.313338 0941 AE00
24.313341 0A01 4FB0
24.313344 0801 8B80
24.313347 0901 AE00
24.313350 09C1 4FB0
24.376416 00C0 0000
24.376419 0000 7E00
24.376478 00C1 0000
24.376481 0001 7E00
# DONE t=26.316329 nrec=68 nw=2538
